#AllowSameLineComments	docs/commands/_AllowSameLineComments.htm
#ClipboardTimeout	docs/commands/_ClipboardTimeout.htm
#CommentFlag	docs/commands/_CommentFlag.htm
#Delimiter	docs/commands/_EscapeChar.htm#Delimiter
#DerefChar	docs/commands/_EscapeChar.htm#DerefChar
AutoTrim	docs/commands/AutoTrim.htm
balloon tip	docs/commands/TrayTip.htm
base (Objects)	docs/Objects.htm#Custom_Objects
beep the PC speaker	docs/commands/SoundBeep.htm
between (check if var between two values)	docs/commands/IfBetween.htm
bitwise operations	docs/Variables.htm#bitwise
blind-mode Send	docs/commands/Send.htm#blind
BlockInput	docs/commands/BlockInput.htm
blocks (lines enclosed in braces)	docs/commands/Block.htm
Break	docs/commands/Break.htm
buffering	docs/commands/_MaxThreadsBuffer.htm
built-in functions	docs/Functions.htm#BuiltIn
built-in variables	docs/Variables.htm#BuiltIn
Button controls (GUI)	docs/commands/GuiControls.htm#Button
button list (mouse and joystick)	docs/KeyList.htm
button state	docs/commands/GetKeyState.htm
ByRef	docs/Functions.htm#ByRef
callbacks	docs/commands/RegisterCallback.htm
case sensitive strings	docs/commands/StringCaseSense.htm
Ceil()	docs/Functions.htm#Ceil
Changelog	docs/AHKL_ChangeLog.htm
Checkbox controls (GUI)	docs/commands/GuiControls.htm#Checkbox
choose file	docs/commands/FileSelectFile.htm
choose folder	docs/commands/FileSelectFolder.htm
Chr()	docs/Functions.htm#Chr
class (Objects)	docs/Objects.htm#Custom_Classes
class name of a window	docs/commands/WinGetClass.htm
Click a mouse button	docs/commands/Click.htm
Clipboard	docs/misc/Clipboard.htm
ClipboardAll	docs/misc/Clipboard.htm#ClipboardAll
ClipWait	docs/commands/ClipWait.htm
Clone()	docs/objects/Object.htm#Clone
close a window	docs/commands/WinClose.htm
CLSID List (My Computer, etc.)	docs/misc/CLSID-List.htm
color names, RGB/HTML	docs/commands/Progress.htm#colors
color of pixels	docs/commands/PixelSearch.htm
COM	docs/commands/ComObjCreate.htm
ComboBox controls (GUI)	docs/commands/GuiControls.htm#ComboBox
comma operator (multi-statement)	docs/Variables.htm#comma
command line parameters	docs/Scripts.htm#cmd
commands, alphabetical list	docs/commands/index.htm
CommentFlag	docs/commands/_CommentFlag.htm
comments in scripts	docs/Scripts.htm
ComObj...()	docs/commands/ComObjActive.htm
ComObjArray()	docs/commands/ComObjArray.htm
ComObjConnect()	docs/commands/ComObjConnect.htm
ComObjCreate()	docs/commands/ComObjCreate.htm
ComObjError()	docs/commands/ComObjError.htm
ComObjFlags()	docs/commands/ComObjFlags.htm
ComObjGet()	docs/commands/ComObjGet.htm
ComObjQuery()	docs/commands/ComObjQuery.htm
ComObjType()	docs/commands/ComObjType.htm
ComObjValue()	docs/commands/ComObjValue.htm
Compatibility	docs/Compat.htm
compile a script	docs/Scripts.htm#ahk2exe
ComSpec	docs/Variables.htm#ComSpec
concatenate, in expressions	docs/Variables.htm#concat
concatenate, script lines	docs/Scripts.htm#continuation
context menu (GUI)	docs/commands/Gui.htm#GuiContextMenu
continuation sections	docs/Scripts.htm#continuation
Continue	docs/commands/Continue.htm
Control	docs/commands/Control.htm
ControlClick	docs/commands/ControlClick.htm
ControlFocus	docs/commands/ControlFocus.htm
ControlGet	docs/commands/ControlGet.htm
ControlGetFocus	docs/commands/ControlGetFocus.htm
ControlGetPos	docs/commands/ControlGetPos.htm
ControlGetText	docs/commands/ControlGetText.htm
ControlMove	docs/commands/ControlMove.htm
ControlSend	docs/commands/ControlSend.htm
ControlSendRaw	docs/commands/ControlSend.htm
ControlSetText	docs/commands/ControlSetText.htm
convert a script to an EXE	docs/Scripts.htm#ahk2exe
coordinates	docs/commands/CoordMode.htm
CoordMode	docs/commands/CoordMode.htm
copy file	docs/commands/FileCopy.htm
copy folder/directory	docs/commands/FileCopyDir.htm
Cos()	docs/Functions.htm#Cos
create file	docs/commands/FileAppend.htm
create folder/directory	docs/commands/FileCreateDir.htm
Critical	docs/commands/Critical.htm
current directory	docs/commands/SetWorkingDir.htm
current thread	docs/misc/Threads.htm
cursor shape	docs/Variables.htm#Cursor
dates and times (compare)	docs/commands/EnvSub.htm
dates and times (math)	docs/commands/EnvAdd.htm
dates and times (of files)	docs/commands/FileSetTime.htm
DateTime controls (GUI)	docs/commands/GuiControls.htm#DateTime
debugger	docs/commands/OutputDebug.htm
debugging a script	docs/Scripts.htm#debug
decimal places	docs/commands/SetFormat.htm
delete files	docs/commands/FileDelete.htm
delete folder/directory	docs/commands/FileRemoveDir.htm
Delimiter	docs/commands/_EscapeChar.htm
DerefChar	docs/commands/_EscapeChar.htm
DetectHiddenText	docs/commands/DetectHiddenText.htm
DetectHiddenWindows	docs/commands/DetectHiddenWindows.htm
dialog FileSelectFile	docs/commands/FileSelectFile.htm
dialog FileSelectFolder	docs/commands/FileSelectFolder.htm
dialog InputBox	docs/commands/InputBox.htm
dialog MsgBox	docs/commands/MsgBox.htm
digit	docs/commands/IfIs.htm
disk space	docs/commands/DriveSpaceFree.htm
divide (math)	docs/Variables.htm#divide
DllCall()	docs/commands/DllCall.htm
download a file	docs/commands/URLDownloadToFile.htm
drag and drop (GUI windows)	docs/commands/Gui.htm#GuiDropFiles
drag the mouse	docs/commands/MouseClickDrag.htm
Drive	docs/commands/Drive.htm
DriveGet	docs/commands/DriveGet.htm
DriveSpaceFree	docs/commands/DriveSpaceFree.htm
DropDownList controls (GUI)	docs/commands/GuiControls.htm#DropDownList
Edit	docs/commands/Edit.htm
Edit controls (GUI)	docs/commands/GuiControls.htm#Edit
Else	docs/commands/Else.htm
EnvAdd	docs/commands/EnvAdd.htm
EnvDiv	docs/commands/EnvDiv.htm
EnvGet	docs/commands/EnvGet.htm
environment variables	docs/Variables.htm#env
environment variables (change them)	docs/commands/EnvSet.htm
EnvMult	docs/commands/EnvMult.htm
EnvSet	docs/commands/EnvSet.htm
EnvSub	docs/commands/EnvSub.htm
EnvUpdate	docs/commands/EnvUpdate.htm
ErrorLevel	docs/misc/ErrorLevel.htm
ErrorStdOut	docs/commands/_ErrorStdOut.htm
escape sequence	docs/commands/_EscapeChar.htm
EscapeChar	docs/commands/_EscapeChar.htm
Exit	docs/commands/Exit.htm
ExitApp	docs/commands/ExitApp.htm
Exp()	docs/Functions.htm#Exp
expressions	docs/Variables.htm#Expressions
ExtractInteger -&gt; NumGet()	docs/Functions.htm#NumGet
FAQ (Frequently Asked Questions)	docs/FAQ.htm
file attributes	docs/commands/FileSetAttrib.htm
File object	docs/objects/File.htm
file or folder (does it exist)	docs/commands/IfExist.htm
file pattern	docs/commands/LoopFile.htm
file, creating	docs/commands/FileAppend.htm
file, reading	docs/commands/LoopReadFile.htm
file, writing/appending	docs/commands/FileAppend.htm
FileAppend	docs/commands/FileAppend.htm
FileCopy	docs/commands/FileCopy.htm
FileCopyDir	docs/commands/FileCopyDir.htm
FileCreateDir	docs/commands/FileCreateDir.htm
FileCreateShortcut	docs/commands/FileCreateShortcut.htm
FileDelete	docs/commands/FileDelete.htm
FileEncoding	docs/commands/FileEncoding.htm
FileExist()	docs/Functions.htm#FileExist
FileGetAttrib	docs/commands/FileGetAttrib.htm
FileGetShortcut	docs/commands/FileGetShortcut.htm
FileGetSize	docs/commands/FileGetSize.htm
FileGetTime	docs/commands/FileGetTime.htm
FileGetVersion	docs/commands/FileGetVersion.htm
FileInstall	docs/commands/FileInstall.htm
FileMove	docs/commands/FileMove.htm
FileMoveDir	docs/commands/FileMoveDir.htm
FileOpen	docs/commands/FileOpen.htm
FileRead	docs/commands/FileRead.htm
FileReadLine	docs/commands/FileReadLine.htm
FileRecycle	docs/commands/FileRecycle.htm
FileRecycleEmpty	docs/commands/FileRecycleEmpty.htm
FileRemoveDir	docs/commands/FileRemoveDir.htm
FileSelectFile	docs/commands/FileSelectFile.htm
FileSelectFolder	docs/commands/FileSelectFolder.htm
FileSetAttrib	docs/commands/FileSetAttrib.htm
FileSetTime	docs/commands/FileSetTime.htm
find a file	docs/commands/IfExist.htm
